web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1730849833-39","https://www.klikindomaret.com/category/facial-cleanser","Azzura Two Way Cake 01 Light Beige 12g","15%
                                                        Rp 44.500","Rp 37.825"
"1730849833-40","https://www.klikindomaret.com/category/facial-cleanser","Azzura Two Way Cake 02 Natural 12g","15%
                                                        Rp 44.500","Rp 37.825"
"1730849833-41","https://www.klikindomaret.com/category/facial-cleanser","Selection Kapas Kecantikan 75G","14%
                                                        Rp 16.100","Rp 13.800"
"1730849833-42","https://www.klikindomaret.com/category/facial-cleanser","Hanasui Collagen Water Sunscreen Spf30pa++ 30mL","14%
                                                        Rp 25.500","Rp 22.000"
"1730849833-43","https://www.klikindomaret.com/category/facial-cleanser","Senka Perfect Whip 50G","10%
                                                        Rp 37.500","Rp 33.700"
"1730849833-44","https://www.klikindomaret.com/category/facial-cleanser","Glad2glow 5% Ceramide Moisturizer Blueberry 30G","10%
                                                        Rp 39.000","Rp 35.100"
"1730849833-45","https://www.klikindomaret.com/category/facial-cleanser","Glad2glow Centella Allantoin Soothing Gel Moisturizer 55G","10%
                                                        Rp 42.600","Rp 38.340"
"1730849833-46","https://www.klikindomaret.com/category/facial-cleanser","Glad2glow Ceramide Low Ph Gel Cleanser Blueberry 70mL","10%
                                                        Rp 38.500","Rp 34.650"
"1730849833-47","https://www.klikindomaret.com/category/facial-cleanser","Glad2glow Micellar Water Cherry Blossom 130mL","10%
                                                        Rp 29.400","Rp 26.460"
"1730849833-48","https://www.klikindomaret.com/category/facial-cleanser","Glad2glow Mugwort Salicylic Acid Acne Clay Stick 25G","10%
                                                        Rp 41.500","Rp 37.350"
"1730849833-49","https://www.klikindomaret.com/category/facial-cleanser","Glad2glow Pomegranate 5% Niacinamide Brightening Moisturizer 30G","10%
                                                        Rp 39.000","Rp 35.100"
"1730849833-50","https://www.klikindomaret.com/category/facial-cleanser","Glad2glow Retinol Moisturizer Peach 30G","10%
                                                        Rp 50.000","Rp 45.000"
"1730849833-51","https://www.klikindomaret.com/category/facial-cleanser","Glad2glow Salicylic Acid Acne Gel Cleanser Centella 70mL","10%
                                                        Rp 38.500","Rp 34.650"
"1730849833-52","https://www.klikindomaret.com/category/facial-cleanser","Safi Ultimate Bright Purify Cleanser 100G","10%
                                                        Rp 35.900","Rp 32.400"
"1730849833-53","https://www.klikindomaret.com/category/facial-cleanser","Derma Angel Acne Patch Day 6'S","9%
                                                        Rp 17.200","Rp 15.600"
"1730849833-54","https://www.klikindomaret.com/category/facial-cleanser","Viva Face Tonic Bengkoang 100mL","5%
                                                        Rp 9.500","Rp 9.025"
"1730849833-55","https://www.klikindomaret.com/category/facial-cleanser","Viva Milk Cleanser Bengkoang 100mL","5%
                                                        Rp 10.100","Rp 9.595"
"1730849833-56","https://www.klikindomaret.com/category/facial-cleanser","Viva Penyegar Air Mawar 100mL","5%
                                                        Rp 7.000","Rp 6.650"
"1730849833-57","https://www.klikindomaret.com/category/facial-cleanser","Azarine Calm My Acne Sunscreen Moisturiser SPF 35 Pa+++ 40mL","","Rp 38.500"
"1730849833-58","https://www.klikindomaret.com/category/facial-cleanser","Azarine Hydrasoothe Sunscreen Gel SPF 45 Pa++++ 30mL","","Rp 38.500"
"1730849833-59","https://www.klikindomaret.com/category/facial-cleanser","Carasun Solar Smart Uv Light Sunscreen Spf 50 Pa++++ 30G","","Rp 39.200"
"1730849833-60","https://www.klikindomaret.com/category/facial-cleanser","Citra Fresh Glow Multifunction Gel Aloe Vera 180mL","","Rp 25.500"
"1730849833-61","https://www.klikindomaret.com/category/facial-cleanser","Citra Pelembab Wajah Hazeline Pearly White Uv Cream 40g","","Rp 55.600"
"1730849833-62","https://www.klikindomaret.com/category/facial-cleanser","Citra Sakura Fair Uv Powder Cream 40G","","Rp 55.600"
"1730849833-63","https://www.klikindomaret.com/category/facial-cleanser","Clean & Clear Foaming Facial Wash 50Ml","","Rp 19.400"
"1730849833-64","https://www.klikindomaret.com/category/facial-cleanser","Clean & Clear Oil Control Film 60'S","","Rp 34.200"
"1730849833-65","https://www.klikindomaret.com/category/facial-cleanser","Emina Bright Stuff Face Wash 100mL","","Rp 31.500"
"1730849833-66","https://www.klikindomaret.com/category/facial-cleanser","Emina Bright Stuff Face Wash 50Ml","","Rp 20.000"
"1730849833-67","https://www.klikindomaret.com/category/facial-cleanser","Emina Bright Stuff Face Wash For Acne Prone Skin 50Ml","","Rp 22.200"
"1730849833-68","https://www.klikindomaret.com/category/facial-cleanser","Emina Bright Stuff Loose Powder 55G","","Rp 27.900"
"1730849833-69","https://www.klikindomaret.com/category/facial-cleanser","Emina Bright Stuff Moisturizing Cream 20mL","","Rp 28.300"
"1730849833-70","https://www.klikindomaret.com/category/facial-cleanser","Emina Bright Stuff Moisturizng Cream For Acne Prone Skin 20Ml","","Rp 28.800"
